DesignAuditID,RatingID,PoleSpeed,EfficiencyBand,HorsePower,Voltage,Frequency,RPM,Amps,NoLoadAmps,Connection,WindingResistAt105,BarRes,ERRes,BDTCorelFactor,ReactCoilEndRun,ResTotalStart,ReactTotalRun,ReactStatorSlotRun,ReactStatorSlotStart,ReactRotorSlotRun,ReactRotorSlotStart,ReactZigZagRun,ReactZigZagStart,ReactBeltLeakRun,ReactTotalStart,FrameSize
1,3H4075,4,10,75.000001022707,460,60,1779,88.67,32.6,Delta,0.0985720297917392,0.109241403639317,0.0141907089868554,1.2532751091703056,6.95516972114685,0.512836754322052,2.1364758014679,14.4394159317017,14.4394159317017,67.5961380004883,41.4576568603516,19.6596126556396,17.1220054626465,5.9713005558791,1.55066668987274,365T
2,H0301117,4,20,250,380,50,1487,333.07,61.68,Delta,0.0164069515832517,0.0165589656680822,0.00340060540536018,1.266092245311708,10.0892894103056,0.0870096385478973,0.540744423866272,16.2688331604004,16.2688331604004,61.9074096679688,27.6499977111816,15.5642595291138,13.9764385223389,8.29871221779611,0.363796472549438,N449
3,H991397,4,20,300.000004090828,460,60,1781,340.83,84.53,Delta,0.0156586369260463,0.0136490445584059,0.00366554040535997,1.2023092369477912,9.8156500836799,0.129393175244331,0.646232068538666,15.6144571304321,15.6144571304321,78.8184127807617,37.9698905944824,14.596851348877,13.8401546478271,7.72014430172045,0.431756168603897,5010
4,H0103010,2,10,1200.00001636331,4000,60,3582,147.61,31.11,Wye,0.134402926503256,0.0816994234919548,0.0102124896889433,0.890897946674839,23.6850203312102,0.566750347614288,2.47136831283569,18.5331363677979,18.5331363677979,16.8041362762451,14.8054065704346,4.12748765945435,3.75501847267151,7.19222266031972,2.36525678634644,5811/12UDZ
5,H010251,2,10,700.000016363313,4000,60,3576,87.53,17.35,Delta,0.7743339887049,0.424265056848526,0.0661701811250543,0.8227065712426807,31.108683420097,3.03265070915222,13.4782485961914,18.5331363677979,18.5331363677979,16.8041362762451,14.8054065704346,4.12748765945435,3.94400238990784,7.19222266031972,13.0446157455444,5811/12UDZ
6,H110291,6,10,600,4160,60,1190,72.07,17.69,Wye,0.394812925136707,0.284676194190979,0.0183495867831592,1.1316836058329651,4.17882625221169,1.41871893405914,7.60711574554443,20.3576927185059,20.3576927185059,20.7341747283936,12.5564184188843,6.55716180801392,5.06691646575928,4.0779279890454,6.16547918319702,5811UZ
7,H080451,6,10,450.000016363313,4160,60,1182,66.52,32.55,Wye,0.402590352421864,0.375188708305359,0.0291448442794071,1.1986754966887416,4.47825742729114,2.21651601791382,9.40594100952148,25.8709335327148,25.8709335327148,60.9152183532715,35.1879272460938,8.50071239471436,7.08900165557861,4.41161776202479,6.88945817947388,5011
8,H050111,4,10,350,4160,60,1790,46.82,19.24,Wye,0.353862769847114,0.284701883792877,0.046260631141008,1.4444444444444444,6.82159993226337,1.73737525939941,12.3525457382202,15.9386224746704,15.9386224746704,60.8622169494629,31.2228679656982,10.9243240356445,6.96485710144043,5.83941178291976,7.50915145874023,N449
9,H0803710,6,10,600.000008181656,4000,60,1191,88.84,39.96,Wye,0.247140344694571,0.190606817603111,0.0232023181593602,1.3598466698610447,4.47731384165538,1.19952738285065,7.29875135421753,20.2764301300049,20.2764301300049,45.0543937683105,23.5921630859375,5.64254426956177,5.15394115447998,3.30657626723977,4.98471689224243,5811UZ
10,H0803710A,6,10,500,4000,60,1192,76.78,39.96,Wye,0.247140344694571,0.190606817603111,0.0232023181593602,1.35956917978459,4.47731384165538,1.19952738285065,7.55681180953979,20.2764301300049,20.2764301300049,47.9804573059082,23.5921630859375,5.64254426956177,5.15394115447998,3.30657626723977,4.98471689224243,5811UZ
11,H0803710B,6,10,700,4000,60,1189,101.7,39.96,Wye,0.247140344694571,0.190606817603111,0.0232023181593602,1.3594344752582925,4.47731384165538,1.19952738285065,7.10947847366333,20.2764301300049,20.2764301300049,42.9082870483398,23.5921630859375,5.64254426956177,5.15394115447998,3.30657626723977,4.98471689224243,5811UZ
12,H09010,6,10,700.000016363313,4160,60,1192,103.08,52.75,Wye,0.179626741802939,0.156303554773331,0.0167636748701377,1.358433734939759,3.91764961144846,0.958351016044617,6.01057577133179,20.2764301300049,20.2764301300049,45.8574066162109,23.3834171295166,5.64254426956177,5.03907823562622,3.30657626723977,4.04672765731812,5811US
13,H11037,4,10,600,4160,60,1771,77.7,25.12,Wye,0.382896703621306,0.412241756916046,0.0615112536607582,1.135247449943332,13.4256722253374,1.4881294965744,6.29023313522339,18.6943454742432,18.6943454742432,31.3526172637939,17.8730640411377,8.25512504577637,5.40246534347534,5.461621131424,4.80550575256348,5012
14,H11037,4,10,600,4160,60,1771,77.77,25.12,Wye,0.406325576004628,0.412241756916046,0.0615112536607582,1.134950720242608,13.4256722253374,1.51155841350555,6.28920030593872,18.6943454742432,18.6943454742432,31.3399429321289,17.8760871887207,8.25512504577637,5.40807342529297,5.461621131424,4.80651187896729,5012
15,H920367,4,10,399.999991818344,4160,60,1783,50.96,16.73,Wye,0.74249585059682,0.35850864648819,0.113773307203553,1.0158119658119658,15.2346049041197,2.60457587242126,10.6274785995483,19.9653816223145,19.9653816223145,44.9844169616699,21.3945178985596,9.70170497894287,6.02553606033325,6.75254271703497,7.01335048675537,505U
16,H920367A,4,10,400,2300,60,1782,90.64,25.59,Delta,0.74249585059682,0.35850864648819,0.113773307203553,1.0161812297734627,15.2346049041197,2.60457587242126,10.5959882736206,19.9653816223145,19.9653816223145,44.2933120727539,21.5082931518555,9.70170497894287,6.22756290435791,6.75254271703497,7.06125974655151,505U
17,H920369,4,10,400,2300,60,1782,90.64,25.59,Delta,0.74249585059682,0.35850864648819,0.113773307203553,1.0161812297734627,15.2346049041197,2.60457587242126,10.5959882736206,19.9653816223145,19.9653816223145,44.2933120727539,21.5082931518555,9.70170497894287,6.22756290435791,6.75254271703497,7.06125974655151,505U
18,H0102510,2,10,800,4160,60,3582,97.64,24.64,Wye,0.232989811027726,0.121759742498398,0.0189901667769607,0.7676224611708482,31.108683420097,0.88110363483429,3.86811995506287,18.5331363677979,18.5331363677979,16.8041362762451,14.8054065704346,4.12748765945435,3.849928855896,7.19222266031972,3.73083853721619,5812USS
19,H940243,4,10,500,4160,60,1788,59.5,13,Wye,0.301062802579006,0.226696744561195,0.0114794001192338,0.9248554913294798,10.1893786047034,1.11032736301422,8.16964721679688,22.5957794189453,22.5957794189453,17.3123531341553,10.9984550476074,5.94718360900879,5.18791484832764,5.08689760126846,7.13759565353394,5810
20,4H4002,4,20,2,460,60,1734,2.69,1.38,Wye,4.88729963260918,4.1655158996582,1.02154305559091,1.5944422070076518,10.4723537705959,10.0743589401245,19.0428409576416,13.7188405990601,13.7188405990601,36.9264297485352,18.6745452880859,31.0262050628662,20.9921283721924,6.66294855878327,11.9111948013306,145T
21,4H4005,4,20,5.00000002556768,460,60,1742,6.15,2.33,Wye,2.02004028932487,1.39234447479248,0.353228766742891,1.4801373222167729,9.52032160963261,3.7656135559082,10.0496740341187,11.6013660430908,11.6013660430908,29.5144386291504,15.195725440979,33.7297401428223,19.7748794555664,7.23802380440603,5.85333633422852,184T
22,H0402024,4,20,5,380,50,1449,7.24,2.44,Delta,2.75364538352442,2.70945358276367,0.690636657896611,1.3150873965041396,9.68411208893812,7.24818134307861,20.9826164245605,15.2172355651855,15.2172355651855,64.2552032470703,28.7238731384277,21.5398426055908,19.5433177947998,7.05493016577206,13.1986436843872,215T
23,H040245,4,10,250,4160,60,1789,32.28,10.43,Wye,0.725136961702398,0.463581115007401,0.0874615057509683,1.3726554787759133,7.48530074659122,2.99005055427551,20.262523651123,15.9386224746704,15.9386224746704,60.9358444213867,31.9821834564209,10.9243240356445,7.98371934890747,5.83941178291976,12.6522188186646,N449
