RatingID,PoleSpeed,MotorRotorInertia,Connection,BarMaterial,ERMaterial,WindingResistAt105,BarRes,ERRes,StatorOD,RotorOD,RotorSlotType,StatorSlotType,NemaDesign,NemaKVACode,Name,SRPM,Efficiency100,PowerFactor100,HorsePower,Voltage,Frequency,RPM,Amps,NoLoadAmps,LockedRotorAmps,LockedRotorTorque,BreakDownTorque,SFRiseByRes1,BDTCorelFactor,ReactCoilEndRun,ResTotalStart,ReactTotalRun,ReactStatorSlotRun,ReactStatorSlotStart,ReactRotorSlotRun,ReactRotorSlotStart,ReactZigZagRun,ReactZigZagStart,ReactBeltLeakRun,ReactTotalStart,FrameSize,Zbase,R1,R2,R3,X1,X2,X3,Xm,XdPrime,XdDoublePrime,ShortCircuitTimeConstant,SubTransientTimeConstant,OpenCircuitTimeConstant,L1,L2,L3,FirstCycleInrush
3H4075,4,2.584186369,Delta,AL,AL,0.09857203,0.109241404,0.014190709,350,218.2,Dbl - Closed,48,"A,B,C",G,TIC Premium Brand,1800,0.954,0.83,75.00000102,460,60,1779,88.67,32.6,573,233,287,55,1.253275109,6.955169721,0.512836754,2.136475801,14.43941593,14.43941593,67.596138,41.45765686,19.65961266,17.12200546,5.971300556,1.55066669,365T,2.995163233,0.032857343,0.041144038,0.138088242,0.158103223,0.410134824,0.338264385,8.14666024,0.548579919,0.339353276,0.036440619,0.008659595,0.551662044,0.000419382,0.001087916,0.000897274,2.258055121
H0301117,4,26.65551651,Delta,AL,AL,0.016406952,0.016558966,0.003400605,520,337.5999999,Dbl - Closed,72,"A,B",G,TIC Premium Brand,1500,0.954,0.892,250,380,50,1487,333.07,61.68,2147,190.7,249.8,66,1.266092245,10.08928941,0.087009639,0.540744424,16.26883316,16.26883316,61.90740967,27.64999771,15.56425953,13.97643852,8.298712218,0.363796473,N449,0.65869968,0.005468984,0.00665319,0.023534229,0.044344997,0.098020728,0.067783744,3.556956911,0.139736965,0.083971144,0.067851066,0.013262471,1.748658093,0.000141155,0.00031201,0.000215762,2.361675145
H991397,4,34.66197023,Delta,AL,AL,0.015658637,0.013649045,0.00366554,550,362.2,Dbl - Closed,72,"A,B",G,TIC Premium Brand,1800,0.951,0.867,300.0000041,460,60,1781,340.83,84.53,2183.4,210.1,239.5,46,1.202309237,9.815650084,0.129393175,0.646232069,15.61445713,15.61445713,78.81841278,37.96989059,14.59685135,13.84015465,7.720144302,0.431756169,5010,0.779218742,0.005219546,0.005771528,0.037911513,0.047162621,0.13200151,0.089738198,3.141856428,0.173841848,0.09969058,0.082022896,0.0086834,1.504658283,0.000125103,0.000350145,0.000238038,2.236601633
H0103010,2,32.41836848,Wye,CU,CU,0.134402927,0.081699423,0.01021249,670,368.4000001,Trapeze,48,,F,Standard / High Efficiency,3600,0.965,0.907,1200.000016,4000,60,3582,147.61,31.11,882,87,290.7,45,0.890897947,23.68502033,0.566750348,2.471368313,18.53313637,18.53313637,16.80413628,14.80540657,4.127487659,3.755018473,7.19222266,2.365256786,5811/12UDZ,15.64528878,0.134402927,0.091911913,0.432347421,1.576776779,1.197242762,0.956473424,74.23340009,2.755016783,2.104695532,0.079111865,0.010005542,2.176932104,0.00418253,0.003175785,0.002537125,2.195030975
H010251,2,24.68216691,Delta,CU,CU,0.774333989,0.424265057,0.066170181,670,368.4000001,Trapeze,48,,F,Standard / High Efficiency,3600,0.949,0.907,700.0000164,4000,60,3576,87.53,17.35,511,95.7,252.9,41,0.822706571,31.10868342,3.032650709,13.4782486,18.53313637,18.53313637,16.80413628,14.80540657,4.127487659,3.94400239,7.19222266,13.04461575,5811/12UDZ,26.38410918,0.25811133,0.163478413,0.75277224,3.15526757,2.305670374,1.725960987,133.1066903,5.421679225,4.135070421,0.087423054,0.010729647,2.197185774,0.008369607,0.006115981,0.004578254,2.21688109
H110291,6,85.79000018,Wye,Special,Special,0.394812925,0.284676194,0.018349587,610,422.2,Rectang,72,,G,Standard / High Efficiency,1200,0.955,0.903,600,4160,60,1190,72.07,17.69,489.9,151.2,256.1,73,1.131683606,4.178826252,1.418718934,7.607115746,20.35769272,20.35769272,20.73417473,12.55641842,6.557161808,5.066916466,4.077927989,6.165479183,5811UZ,33.32561565,0.394812925,0.303025781,1.023906009,3.338339308,3.383606389,2.512308365,135.770329,6.639671401,4.764977968,0.058140289,0.010808645,1.218105194,0.00885522,0.008975295,0.006664105,2.259088065
H080451,6,40.45079342,Wye,AL,AL,0.402590352,0.375188708,0.029144844,550,362.5999999,Dbl - Closed,72,,G,Standard / High Efficiency,1200,0.948,0.739,450.0000164,4160,60,1182,66.52,32.55,391.7,223.2,271.5,80,1.198675497,4.478257427,2.216516018,9.40594101,25.87093353,25.87093353,60.91521835,35.18792725,8.500712395,7.089001656,4.411617762,6.889458179,5011,36.1060902,0.402590352,0.404333553,1.813925665,2.60364545,5.243299812,3.886643367,73.78731551,7.499077631,4.77019468,0.050896784,0.008169111,0.518470992,0.006906384,0.013908285,0.010309642,2.175767095
H050111,4,26.65551651,Wye,AL,AL,0.35386277,0.284701884,0.046260631,520,337.5999999,Dbl - Closed,48,A,K,Standard / High Efficiency,1800,0.955,0.81,350,4160,60,1790,46.82,19.24,407.9,287.2,340.6,80,1.444444444,6.821599932,1.737375259,12.35254574,15.93862247,15.93862247,60.86221695,31.22286797,10.92432404,6.964857101,5.839411783,7.509151459,N449,51.29810166,0.35386277,0.330962515,1.38351249,2.459244914,6.09251752,4.556053953,124.8324906,8.268250749,5.012644946,0.068159456,0.012047888,1.049331434,0.00652335,0.016160905,0.012085308,2.44871214
H0803710,6,79.37502886,Wye,AL,AL,0.247140345,0.190606818,0.023202318,610,421.28,Dbl - Closed,72,,H,Standard / High Efficiency,1200,0.952,0.763,600.0000082,4000,60,1191,88.84,39.96,554.3,196.3,283.8,74,1.35984667,4.477313842,1.199527383,7.298751354,20.27643013,20.27643013,45.05439377,23.59216309,5.64254427,5.153941154,3.306576267,4.984716892,5811UZ,25.9950594,0.247140345,0.213809136,0.952387038,1.839353688,3.527980377,2.646826081,57.79281974,5.164358149,3.313057348,0.065884939,0.010670272,0.760764846,0.004879037,0.009358259,0.007020924,2.338577486
H0803710A,6,79.37502886,Wye,AL,AL,0.247140345,0.190606818,0.023202318,610,421.28,Dbl - Closed,72,,J,Standard / High Efficiency,1200,0.954,0.735,500,4000,60,1192,76.78,39.96,554.3,235.8,328.2,57,1.35956918,4.477313842,1.199527383,7.55681181,20.27643013,20.27643013,47.98045731,23.59216309,5.64254427,5.153941154,3.306576267,4.984716892,5811UZ,30.07815937,0.247140345,0.213809136,0.952387038,1.836543057,3.721696952,2.646826081,57.79281974,5.333073187,3.343000899,0.068255494,0.010725562,0.763168154,0.004871582,0.009872108,0.007020924,2.338577486
H0803710B,6,79.37502886,Wye,AL,AL,0.247140345,0.190606818,0.023202318,610,421.28,Dbl - Closed,72,,F,Standard / High Efficiency,1200,0.95,0.78,700,4000,60,1189,101.7,39.96,554.3,168.1,250,94,1.359434475,4.477313842,1.199527383,7.109478474,20.27643013,20.27643013,42.90828705,23.59216309,5.64254427,5.153941154,3.306576267,4.984716892,5811UZ,22.70797519,0.247140345,0.213809136,0.952387038,1.842403217,3.387329148,2.646826081,57.79281974,5.042187893,3.290981528,0.06417551,0.010628354,0.759019883,0.004887126,0.00898517,0.007020924,2.338577486
H09010,6,90.7143187,Wye,AL,AL,0.179626742,0.156303555,0.016763675,610,421.28,Dbl - Closed,72,,J,Standard / High Efficiency,1200,0.961,0.732,700.0000164,4160,60,1192,103.08,52.75,717.7,224.5,315.7,73,1.358433735,3.917649611,0.958351016,6.010575771,20.27643013,20.27643013,45.85740662,23.38341713,5.64254427,5.039078236,3.306576267,4.046727657,5811US,23.30012728,0.179626742,0.17306723,0.778724274,1.49595343,2.92868328,2.142842626,45.53131981,4.247641555,2.700652084,0.067086563,0.010600272,0.742741135,0.00396814,0.007768574,0.005684067,2.332185043
H11037,4,32.68072775,Wye,AL,AL,0.382896704,0.412241757,0.061511254,590,386.5999999,Dbl - Closed,60,,G,Standard / High Efficiency,1800,0.94,0.851,600,4160,60,1771,77.7,25.12,505.2,171.2,300.5,68,1.13524745,13.42567223,1.488129497,6.290233135,18.69434547,18.69434547,31.35261726,17.87306404,8.255125046,5.402465343,5.461621131,4.805505753,5012,30.91090244,0.382896704,0.473753011,1.105232793,2.476723954,3.064123669,2.173019721,95.61214649,5.445699582,3.731420264,0.030673517,0.008456045,0.552496618,0.006569714,0.00812784,0.005764114,2.125435907
H11037,4,32.68072775,Wye,AL,AL,0.406325576,0.412241757,0.061511254,590,386.5999999,Dbl - Closed,60,,G,Standard / High Efficiency,1800,0.939,0.851,600,4160,60,1771,77.77,25.12,504.4,170.7,299.4,69,1.13495072,13.42567223,1.511558414,6.289200306,18.69434547,18.69434547,31.33994293,17.87608719,8.255125046,5.408073425,5.461621131,4.806511879,5012,30.88307985,0.406325576,0.473753011,1.105232838,2.477371492,3.064014749,2.173641616,95.61214649,5.446244859,3.73225684,0.030676352,0.008457948,0.552496008,0.006571432,0.008127552,0.005765763,2.125599434
H920367,4,19.6633542,Wye,AL,AL,0.742495851,0.358508646,0.113773307,550,362.4000001,Dbl - Closed,60,,H,Standard / High Efficiency,1800,0.952,0.854,399.9999918,4160,60,1783,50.96,16.73,384.5,296.9,237.7,74,1.015811966,15.2346049,2.604575872,10.6274786,19.96538162,19.96538162,44.98441696,21.3945179,9.701704979,6.02553606,6.752542717,7.013350487,505U,47.13063422,0.742495851,0.472281954,1.862080022,4.15163405,6.310418926,3.302330324,143.561095,10.19634947,6.287244335,0.058104988,0.008210329,0.841756783,0.011012551,0.016738906,0.008759703,2.068441159
H920367A,4,19.6633542,Delta,AL,AL,0.742495851,0.358508646,0.113773307,550,362.4000001,Dbl - Closed,60,,H,Standard / High Efficiency,1800,0.951,0.869,400,2300,60,1782,90.64,25.59,633.9,268.8,219.8,76,1.01618123,15.2346049,2.604575872,10.59598827,19.96538162,19.96538162,44.29331207,21.50829315,9.701704979,6.227562904,6.752542717,7.061259747,505U,14.65032678,0.247498617,0.157427318,0.620693341,1.389210902,2.086543213,1.110768027,51.8915834,3.395098063,2.104104014,0.057954642,0.008254589,0.909508145,0.003684996,0.005534728,0.002946404,2.073270469
H920369,4,19.6633542,Delta,AL,AL,0.742495851,0.358508646,0.113773307,550,362.4000001,Dbl - Closed,60,,H,Standard / High Efficiency,1800,0.951,0.869,400,2300,60,1782,90.64,25.59,633.9,268.8,219.8,76,1.01618123,15.2346049,2.604575872,10.59598827,19.96538162,19.96538162,44.29331207,21.50829315,9.701704979,6.227562904,6.752542717,7.061259747,505U,14.65032678,0.247498617,0.157427318,0.620693341,1.389210902,2.086543213,1.110768027,51.8915834,3.395098063,2.104104014,0.057954642,0.008254589,0.909508145,0.003684996,0.005534728,0.002946404,2.073270469
H0102510,2,24.68216691,Wye,CU,CU,0.232989811,0.121759742,0.018990167,670,368.4000001,Trapeze,48,,F,Standard / High Efficiency,3600,0.952,0.891,800,4160,60,3582,97.64,24.64,593.8,112.2,257,34,0.767622461,31.10868342,0.881103635,3.868119955,18.53313637,18.53313637,16.80413628,14.80540657,4.127487659,3.849928856,7.19222266,3.730838537,5812USS,24.59829086,0.232989811,0.140749909,0.648113824,2.911529615,2.127562062,1.480376025,97.47472077,4.993645727,3.776742689,0.09337563,0.011027351,1.877111412,0.007723072,0.005643534,0.003926819,2.214549552
H940243,4,51.60370268,Wye,CU,CU,0.301062803,0.226696745,0.0114794,610,396.4000001,Rectang,60,A,H,Standard / High Efficiency,1800,0.95,0.916,500,4160,60,1788,59.5,13,449,112,240,68,0.924855491,10.1893786,1.110327363,8.169647217,22.59577942,22.59577942,17.31235313,10.99845505,5.947183609,5.187914848,5.086897601,7.137595654,5810,40.36600201,0.301062803,0.238176145,0.80926456,5.04383131,3.789599743,2.47612652,184.7520861,8.75726187,6.529385732,0.096885654,0.015126621,2.099800362,0.013379178,0.010052226,0.00656813,2.400922219
4H4002,4,0.024398102,Wye,AL,AL,4.887299633,4.1655159,1.021543056,160,94.64999998,Diamond,36,"A,B,C",K,TIC Premium Brand,1800,0.866,0.803,2,460,60,1734,2.69,1.38,21.3,339,395.9,39,1.594442207,10.47235377,10.07435894,19.04284096,13.7188406,13.7188406,36.92642975,18.67454529,31.02620506,20.99212837,6.662948559,11.9111948,145T,98.72904231,4.887299633,5.187058955,5.187059308,4.779997333,7.163264627,6.092220727,192.4500897,11.68620321,8.016860674,0.006048359,0.004560047,0.102079208,0.012679337,0.01900115,0.016160117,1.889599424
4H4005,4,0.086532113,Wye,AL,AL,2.020040289,1.392344475,0.353228767,190,119.9500015,Diamond,36,"A,B,C",J,TIC Premium Brand,1800,0.891,0.854,5.000000026,460,60,1742,6.15,2.33,53.3,265.5,301.8,57,1.480137322,9.52032161,3.765613556,10.04967403,11.60136604,11.60136604,29.51443863,15.19572544,33.72974014,19.77487946,7.238023804,5.853336334,184T,43.18392257,2.020040289,1.745573242,1.745573267,2.848593589,3.941096721,2.948630005,113.9833149,6.657976756,4.510688827,0.010212106,0.006957455,0.179198563,0.007556129,0.010454084,0.007821484,2.043013242
H0402024,4,0.247901917,Delta,AL,AL,2.753645384,2.709453583,0.690636658,230,142.1,Dbl - Closed,48,"A,B",H,TIC Premium Brand,1500,0.905,0.865,5,380,50,1449,7.24,2.44,52.7,267.3,285.9,26,1.315087397,9.684112089,7.248181343,20.98261642,15.21723557,15.21723557,64.25520325,28.72387314,21.53984261,19.54331779,7.054930166,13.19864368,215T,30.30291468,0.917881795,1.133363414,1.498178653,1.624676215,3.693757748,2.508794701,89.91520586,5.172680333,3.094299724,0.014856061,0.007697973,0.262904715,0.005171505,0.011757596,0.007985742,2.038573679
H040245,4,22.7065511,Wye,AL,AL,0.725136962,0.463581115,0.087461506,520,337.5999999,Dbl - Closed,48,A,H,Standard / High Efficiency,1800,0.955,0.839,250,4160,60,1789,32.28,10.43,225.4,228,278.1,62,1.372655479,7.485300747,2.990050554,20.26252365,15.93862247,15.93862247,60.93584442,31.98218346,10.92432404,7.983719349,5.839411783,12.65221882,N449,74.40449566,0.725136962,0.551042621,2.264913593,4.27864185,10.482909,7.678204064,230.2758504,14.30511312,8.626944827,0.070682732,0.012504633,1.158952902,0.01134945,0.02780678,0.020367069,2.467547418
H040245,4,22.7065511,Wye,AL,AL,0.725136962,0.463581115,0.087461506,520,337.5999999,Dbl - Closed,48,A,H,Standard / High Efficiency,1800,0.955,0.839,250,4160,60,1789,32.28,10.43,225.4,228,278.1,62,1.372655479,7.485300747,2.990050554,20.26252365,15.93862247,15.93862247,60.93584442,31.98218346,10.92432404,7.983719349,5.839411783,12.65221882,N449,74.40449566,0.725136962,0.551042621,2.264913593,4.27864185,10.482909,7.678204064,230.2758504,14.30511312,8.626944827,0.070682732,0.012504633,1.158952902,0.01134945,0.02780678,0.020367069,2.467547418
3Q8150C,8,39.80349108,Delta,AL,AL,0.050135426,0.06431783,0.004248965,520,373.4,Dbl - Closed,72,"A,B",G,Standard / High Efficiency,900,0.949,0.79,150.000002,575,60,891,149.8,57.04,911.6,157,248.6,46,1.321637427,2.789691971,0.309534967,2.035097837,16.29611206,16.29611206,58.02294922,29.21191025,25.54885483,21.78013992,5.30552185,1.309151649,N449,2.216130873,0.016711809,0.022855598,0.086466514,0.157449855,0.355827034,0.258406116,5.820063197,0.492775734,0.303391557,0.059088727,0.011214129,0.716763451,0.000417649,0.000943861,0.000685444,2.38561898
4H6010,6,0.596715882,Delta,AL,AL,1.38761882,1.528566837,0.136568636,265,174.2,Dbl - Closed,54,A,J,TIC Premium Brand,1200,0.928,0.788,10,460,60,1177,12.8,5.75,94.3,250,315.3,38,1.342273308,5.721188104,3.996889114,14.55013275,16.28621483,16.28621483,51.65176773,22.51929665,28.11862564,19.14544106,6.068180597,8.167274475,256T,20.7485253,0.462539607,0.555045158,0.869756765,1.214203633,2.399102408,1.494466113,46.18802154,3.494844771,2.117049743,0.017119494,0.006974347,0.232199754,0.003220775,0.006363817,0.003964194,2.051806313
4H6010,6,0.596715882,Delta,AL,AL,1.38761882,1.528566837,0.136568636,265,174.2,Dbl - Closed,54,"A,B,C",H,TIC Premium Brand,1200,0.928,0.788,10,460,60,1177,12.8,5.75,94.3,250,315.3,38,1.342273308,5.721188104,3.996889114,14.55013275,16.28621483,16.28621483,51.65176773,22.51929665,28.11862564,19.14544106,6.068180597,8.167274475,256T,20.7485253,0.462539607,0.555045158,0.869756765,1.214203633,2.399102408,1.494466113,46.18802154,3.494844771,2.117049743,0.017119494,0.006974347,0.232199754,0.003220775,0.006363817,0.003964194,2.051806313
4H6010BJ,6,0.596715882,Delta,AL,AL,1.38761882,1.528566837,0.136568636,265,174.2,Dbl - Closed,54,"A,B,C",H,TIC Premium Brand,1200,0.928,0.788,10,460,60,1177,12.8,5.75,94.3,250,315.3,38,1.342273308,5.721188104,3.996889114,14.55013275,16.28621483,16.28621483,51.65176773,22.51929665,28.11862564,19.14544106,6.068180597,8.167274475,256T,20.7485253,0.462539607,0.555045158,0.869756765,1.214203633,2.399102408,1.494466113,46.18802154,3.494844771,2.117049743,0.017119494,0.006974347,0.232199754,0.003220775,0.006363817,0.003964194,2.051806313
4H4005,4,0.086532113,Wye,AL,AL,2.020040289,1.392344475,0.353228767,190,119.9500015,Diamond,36,"A,B,C",J,TIC Premium Brand,1800,0.891,0.854,5.000000026,460,60,1742,6.15,2.33,53.3,265.5,301.8,57,1.480137322,9.52032161,3.765613556,10.04967403,11.60136604,11.60136604,29.51443863,15.19572544,33.72974014,19.77487946,7.238023804,5.853336334,184T,43.18392257,2.020040289,1.745573242,1.745573267,2.848593589,3.941096721,2.948630005,113.9833149,6.657976756,4.510688827,0.010212106,0.006957455,0.179198563,0.007556129,0.010454084,0.007821484,2.043013242
4H4005BJ,4,0.086532113,Wye,AL,AL,2.020040289,1.392344475,0.353228767,190,119.9500015,Diamond,36,"A,B,C",J,TIC Premium Brand,1800,0.891,0.854,5.000000026,460,60,1742,6.15,2.33,53.3,265.5,301.8,57,1.480137322,9.52032161,3.765613556,10.04967403,11.60136604,11.60136604,29.51443863,15.19572544,33.72974014,19.77487946,7.238023804,5.853336334,184T,43.18392257,2.020040289,1.745573242,1.745573267,2.848593589,3.941096721,2.948630005,113.9833149,6.657976756,4.510688827,0.010212106,0.006957455,0.179198563,0.007556129,0.010454084,0.007821484,2.043013242
