RatingID,PoleSpeed,MotorRotorInertia,Connection,BarMaterial,ERMaterial,WindingResistAt105,BarRes,ERRes,StatorOD,RotorOD,RotorSlotType,StatorSlotType,NemaDesign,NemaKVACode,Name,SRPM,Efficiency100,PowerFactor100,HorsePower,Voltage,Frequency,RPM,Amps,NoLoadAmps,LockedRotorAmps,LockedRotorTorque,BreakDownTorque,SFRiseByRes1,BDTCorelFactor,ReactCoilEndRun,ResTotalStart,ReactTotalRun,ReactStatorSlotRun,ReactStatorSlotStart,ReactRotorSlotRun,ReactRotorSlotStart,ReactZigZagRun,ReactZigZagStart,ReactBeltLeakRun,ReactTotalStart,FrameSize
3H4075,4,2.58418636857651,Delta,AL,AL,0.0985720297917392,0.109241403639317,0.0141907089868554,350,218.200000047684,Dbl - Closed,48,"A,B,C",G,TIC Premium Brand,1800,0.954,0.83,75.000001022707,460,60,1779,88.67,32.6,573,233,287,55,1.2532751091703056,6.95516972114685,0.512836754322052,2.1364758014679,14.4394159317017,14.4394159317017,67.5961380004883,41.4576568603516,19.6596126556396,17.1220054626465,5.9713005558791,1.55066668987274,365T
H0301117,4,26.6555165068372,Delta,AL,AL,0.0164069515832517,0.0165589656680822,0.00340060540536018,520,337.599999904633,Dbl - Closed,72,"A,B",G,TIC Premium Brand,1500,0.954,0.892,250,380,50,1487,333.07,61.68,2147,190.7,249.8,66,1.266092245311708,10.0892894103056,0.0870096385478973,0.540744423866272,16.2688331604004,16.2688331604004,61.9074096679688,27.6499977111816,15.5642595291138,13.9764385223389,8.29871221779611,0.363796472549438,N449
H991397,4,34.6619702287615,Delta,AL,AL,0.0156586369260463,0.0136490445584059,0.00366554040535997,550,362.200000047684,Dbl - Closed,72,"A,B",G,TIC Premium Brand,1800,0.951,0.867,300.000004090828,460,60,1781,340.83,84.53,2183.4,210.1,239.5,46,1.2023092369477912,9.8156500836799,0.129393175244331,0.646232068538666,15.6144571304321,15.6144571304321,78.8184127807617,37.9698905944824,14.596851348877,13.8401546478271,7.72014430172045,0.431756168603897,5010
H0103010,2,32.418368483682,Wye,CU,CU,0.134402926503256,0.0816994234919548,0.0102124896889433,670,368.400000095367,Trapeze,48,,F,Standard / High Efficiency,3600,0.965,0.907,1200.00001636331,4000,60,3582,147.61,31.11,882,87,290.7,45,0.890897946674839,23.6850203312102,0.566750347614288,2.47136831283569,18.5331363677979,18.5331363677979,16.8041362762451,14.8054065704346,4.12748765945435,3.75501847267151,7.19222266031972,2.36525678634644,5811/12UDZ
H010251,2,24.6821669137124,Delta,CU,CU,0.7743339887049,0.424265056848526,0.0661701811250543,670,368.400000095367,Trapeze,48,,F,Standard / High Efficiency,3600,0.949,0.907,700.000016363313,4000,60,3576,87.53,17.35,511,95.7,252.9,41,0.8227065712426807,31.108683420097,3.03265070915222,13.4782485961914,18.5331363677979,18.5331363677979,16.8041362762451,14.8054065704346,4.12748765945435,3.94400238990784,7.19222266031972,13.0446157455444,5811/12UDZ
H110291,6,85.790000179875,Wye,Special,Special,0.394812925136707,0.284676194190979,0.0183495867831592,610,422.200000047684,Rectang,72,,G,Standard / High Efficiency,1200,0.955,0.903,600,4160,60,1190,72.07,17.69,489.9,151.2,256.1,73,1.1316836058329651,4.17882625221169,1.41871893405914,7.60711574554443,20.3576927185059,20.3576927185059,20.7341747283936,12.5564184188843,6.55716180801392,5.06691646575928,4.0779279890454,6.16547918319702,5811UZ
H080451,6,40.450793420726,Wye,AL,AL,0.402590352421864,0.375188708305359,0.0291448442794071,550,362.599999904633,Dbl - Closed,72,,G,Standard / High Efficiency,1200,0.948,0.739,450.000016363313,4160,60,1182,66.52,32.55,391.7,223.2,271.5,80,1.1986754966887416,4.47825742729114,2.21651601791382,9.40594100952148,25.8709335327148,25.8709335327148,60.9152183532715,35.1879272460938,8.50071239471436,7.08900165557861,4.41161776202479,6.88945817947388,5011
H050111,4,26.6555165068372,Wye,AL,AL,0.353862769847114,0.284701883792877,0.046260631141008,520,337.599999904633,Dbl - Closed,48,A,K,Standard / High Efficiency,1800,0.955,0.81,350,4160,60,1790,46.82,19.24,407.9,287.2,340.6,80,1.4444444444444444,6.82159993226337,1.73737525939941,12.3525457382202,15.9386224746704,15.9386224746704,60.8622169494629,31.2228679656982,10.9243240356445,6.96485710144043,5.83941178291976,7.50915145874023,N449
H0803710,6,79.375028860236,Wye,AL,AL,0.247140344694571,0.190606817603111,0.0232023181593602,610,421.27999997139,Dbl - Closed,72,,H,Standard / High Efficiency,1200,0.952,0.763,600.000008181656,4000,60,1191,88.84,39.96,554.3,196.3,283.8,74,1.3598466698610447,4.47731384165538,1.19952738285065,7.29875135421753,20.2764301300049,20.2764301300049,45.0543937683105,23.5921630859375,5.64254426956177,5.15394115447998,3.30657626723977,4.98471689224243,5811UZ
H0803710A,6,79.375028860236,Wye,AL,AL,0.247140344694571,0.190606817603111,0.0232023181593602,610,421.27999997139,Dbl - Closed,72,,J,Standard / High Efficiency,1200,0.954,0.735,500,4000,60,1192,76.78,39.96,554.3,235.8,328.2,57,1.35956917978459,4.47731384165538,1.19952738285065,7.55681180953979,20.2764301300049,20.2764301300049,47.9804573059082,23.5921630859375,5.64254426956177,5.15394115447998,3.30657626723977,4.98471689224243,5811UZ
